"","country","field","level","sex","opiEU"
"364","Germany","Other","Bachelors degree or equivalent","Female","Quite positive"
"365","Germany","Social sciences, journalism and information","A-level or equivalent","Female","Quite positive"
"366","Turkey","Other","A-level or equivalent","Male","Neutral"
"367","France Antilles","Arts and Humanities","Masters degree or equivalent","Male","Neutral"
"368","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Male","Neutral"
"369","Turkey","Other","PhD or equivalent","Female","Neutral"
"370","France Antilles","Arts and Humanities","A-level or equivalent","Female","Neutral"
"371","Germany","Social sciences, journalism and information","A-level or equivalent","Male","Very positive"
"372","Tunisia","Health","Masters degree or equivalent","Female","Neutral"
"373","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Prefer not to answer","Neutral"
"374","Germany","Arts and Humanities","Masters degree or equivalent","Female","Very positive"
"375","Germany","Other","A-level or equivalent","Female","Quite positive"
"376","Tunisia","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male","Neutral"
"377","Germany","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male","Quite positive"
"378","Germany","Arts and Humanities","A-level or equivalent","Female","Quite positive"
"379","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Neutral"
"380","Germany","Arts and Humanities","Masters degree or equivalent","Female","Quite positive"
"381","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"382","France Antilles","Health","A-level or equivalent","Female","Neutral"
"383","France Metropolitan","Natural sciences, mathematics and statistics","Masters degree or equivalent","Female","Quite positive"
"384","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Very positive"
"385","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Quite positive"
"386","Ireland","Social sciences, journalism and information","Prefer not to answer","Other",NA
"387","France Metropolitan","Health","Bachelors degree or equivalent","Female","Quite positive"
"388","Germany","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Very positive"
"389","France Metropolitan","Other","Bachelors degree or equivalent","Female","Quite positive"
"390","France Metropolitan","Engineering, manufacturing and construction","Bachelors degree or equivalent","Female","Neutral"
"391","Ireland","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Very positive"
"392","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Quite negative"
"393","Turkey","Business, administration and law","A-level or equivalent","Male","Quite positive"
"394","Germany","Arts and Humanities","A-level or equivalent","Female","Quite positive"
"395","Tunisia","Other","Masters degree or equivalent","Female","Very positive"
"396","Germany","Other","A-level or equivalent","Male","Quite positive"
"397","Germany","Social sciences, journalism and information","PhD or equivalent","Female","Quite positive"
"398","Tunisia","Other","Masters degree or equivalent","Female","Very positive"
"399","Tunisia","Business, administration and law","Masters degree or equivalent","Male","Very positive"
"400","Turkey","Business, administration and law","Bachelors degree or equivalent","Female","Quite positive"
"401","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite negative"
"402","France Metropolitan","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male","Very positive"
"403","France Antilles","Social sciences, journalism and information","Masters degree or equivalent","Female",NA
"404","Tunisia","Other","Bachelors degree or equivalent","Female","Neutral"
"405","Turkey","Engineering, manufacturing and construction","Bachelors degree or equivalent","Male",NA
"406","France Metropolitan","Other","Bachelors degree or equivalent","Female","Quite positive"
"407","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"408","Germany","Other","A-level or equivalent","Male","Quite negative"
"409","Germany","Other","Masters degree or equivalent","Female",NA
"410","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"411","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Quite negative"
"412","Tunisia","Natural sciences, mathematics and statistics","Masters degree or equivalent","Male","Quite positive"
"413","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"414","Germany","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Female","Quite positive"
"415","Ireland","Other","A-level or equivalent","Male","Very positive"
"416","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"417","France Antilles","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"418","Germany","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male","Neutral"
"419","France Metropolitan","Health","Bachelors degree or equivalent","Male","Quite positive"
"420","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Female","Very positive"
"421","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Female","Quite positive"
"422","Tunisia","Social sciences, journalism and information","Masters degree or equivalent","Female",NA
"423","Ireland","Social sciences, journalism and information","Bachelors degree or equivalent","Male",NA
"424","Germany","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"425","Germany","Arts and Humanities","A-level or equivalent","Prefer not to answer","Very positive"
"426","Germany","Business, administration and law","A-level or equivalent","Female","Quite positive"
"427","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Very positive"
"428","Tunisia","Business, administration and law","Masters degree or equivalent","Female",NA
"429","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Quite positive"
"430","France Metropolitan","Arts and Humanities","A-level or equivalent","Female","Very positive"
"431","Germany","Other","A-level or equivalent","Female","Quite positive"
"432","Germany","Arts and Humanities","A-level or equivalent","Female","Very positive"
"433","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Male","Neutral"
"434","France Antilles","Health","A-level or equivalent","Female",NA
"435","Turkey","Business, administration and law","Bachelors degree or equivalent","Female","Neutral"
"436","Turkey","Business, administration and law","A-level or equivalent","Male","Quite positive"
"437","Turkey","Business, administration and law","A-level or equivalent","Male","Quite positive"
"438","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Quite positive"
"439","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female",NA
"440","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Neutral"
"441","Turkey","Business, administration and law","A-level or equivalent","Male","Neutral"
"442","France Antilles","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
